symbol,status,baseAsset,baseAssetPrecision,quoteAsset,quotePrecision,quoteAssetPrecision,baseCommissionPrecision,quoteCommissionPrecision,orderTypes,isSpotTradingAllowed,isMarginTradingAllowed,quoteAmountPrecision,baseSizePrecision,permissions,filters,maxQuoteAmount,makerCommission,takerCommission,quoteAmountPrecisionMarket,maxQuoteAmountMarket,fullName,tradeSideType,contractAddress,st
索拉拉USDT,1,索拉拉,2,USDT,6,6,2,6,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,SUOLALA,1,CY1P83KnKwFYostvjQcoR2HJLyEJWRBRaVQmYyyD3cR8,False
BNTUSDT,1,BNT,2,USDT,4,4,2,4,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0.1,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,Bancor,1,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,False
NTXUSDT,1,NTX,2,USDT,5,5,2,5,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0.001,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,NuNet,1,0xf0d33beda4d734c72684b5f9abbebf715d0a7935,False
DEVVEUSDT,1,DEVVE,2,USDT,4,4,2,4,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,DevvE,1,0x8248270620Aa532E4d64316017bE5E873E37cc09,False
DAMUSDT,1,DAM,2,USDT,5,5,2,5,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,Reservoir,1,0xF9Ca3fE094212FfA705742D3626a8Ab96aAbABf8,False
SBETONUSDT,1,SBETON,2,USDT,2,2,2,2,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,SharpLink Gaming,1,0xfDb46864A7C476F0914c5E82CdED3364a9F56F8a,False
REFACTAUSDT,1,REFACTA,2,USDT,5,5,2,5,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,Refacta AI,1,0x755025385B692A423039510D64c8B02156ACb813,False
HTRUSDT,1,HTR,2,USDT,5,5,2,5,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,HTR,1,,False
VOXELUSDT,1,VOXEL,2,USDT,5,5,2,5,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,Voxies,1,0xd0258a3fD00f38aa8090dfee343f10A9D4d30D3F,False
DEFIUSDT,1,DEFI,2,USDT,6,6,2,6,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.2', 'askMultiplierDown': '0.2'}]",2000000,0,0.0005,1,100000,DeFi,1,0x6B0FaCA7bA905a86F221CEb5CA404f605e5b3131,False
TURBOUSDC,1,TURBO,2,USDC,6,6,2,6,"['LIMIT', 'MARKET', 'LIMIT_MAKER']",True,False,1,0,['SPOT'],"[{'filterType': 'PERCENT_PRICE_BY_SIDE', 'bidMultiplierUp': '0.1', 'askMultiplierDown': '0.1'}]",2000000,0,0,1,100000,Turbo,1,0xA35923162C49cF95e6BF26623385eb431ad920D3,False
