id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mc_bucket,score_global,score_segment,early_score,risk_regime,beta_pen
bittensor,TAO,2888665203,0.4959610726889735,0.6099296007768499,0.23003450715059529,-39.46881287726358,-39.46881287726358,-39.46881287726358,18.58974358974359,0.5908947884805682,2085158.3214999996,3528814.878976667,0.5908947884805682,82.92234081707768,-0.23967855963259982,-0.023529887040798465,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.08934340454891121,neutral,1.0
aave,AAVE,2815970543,0.32737755418823966,0.3861844985676195,0.19016135063635356,-43.36033618520139,-47.908269557763624,-51.5595534984459,20.0,0.7245123831964698,28552.53157747146,39409.30788719,0.7245123831964698,108.3769865960857,1.7257317904287153,1.1104011701093164,mexc,0.0,0.2640358479925736,0.2640358479925736,0.0,gt2b,0.0,0.0,0.14812988001851646,neutral,1.0
bitget-token,BGB,2530054131,0.6198919912110508,0.7759243052766484,0.2558165917246563,-36.581722812824324,-36.581722812824324,-55.31045660797387,7.123287671232877,0.7172954064462032,465354.1123572142,648762.1531870434,0.7172954064462032,67.6993726149667,0.9146263724290875,0.49968630488145765,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.29436331044321407,neutral,1.0
near,NEAR,2407329936,0.4486036069340191,0.5402859911380555,0.23467804379126753,-40.68010075566752,-40.68010075566752,-76.59627329192547,1.36986301369863,0.3882583861745868,444437.2102742855,1144694.425414,0.3882583861745868,74.40966501922021,1.742068539166252,1.0692072081524586,mexc,0.960757341420196,0.960757341420196,0.960757341420196,3.5,gt2b,0.0,0.0,0.2023432786688186,neutral,1.0
okb,OKB,2297968033,-0.02996668164492803,-0.10227982240370315,0.13876398012554722,-51.85603182898071,-52.212574537085466,-52.212574537085466,73.15068493150685,0.776966462260146,128868.38317557143,165860.9340752,0.776966462260146,129.59045813840945,0.9508774206351198,0.5169866816887427,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.1046872782759496,neutral,1.0
memecore,M,2219558544,-0.17414274438103614,-0.22274409692236594,-0.0607395884512666,-53.95122643853608,-53.95122643853608,,43.624161073825505,1.4681940545010048,624340.3944707714,425243.78337914334,1.4681940545010048,314.8712133484529,-0.3415302946510851,-0.15325915856433353,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.4411664230430715,neutral,1.0
aster-2,ASTER,2197500842,-0.08463961996765235,-0.164831591842345,0.10247498107329713,-52.94397371606433,,,23.943661971830984,0.5670216348580069,68262.84651628572,120388.43373830001,0.5670216348580069,160.93626621545405,0.36281397058068454,1.0427116654940907,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.33939970173461925,neutral,1.0
pi-network,PI,2178319136,0.8731438181918124,1.137711336407938,0.25581960902085266,-30.289282664389404,-59.750385208012325,-90.53039503210066,19.272727272727273,0.8946161820665963,51825.340460214284,57930.251541499994,0.8946161820665963,88.67126529379183,0.1083367189042476,0.09566000177978702,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,0.6375498340787029,neutral,1.0
internet-computer,ICP,2172914315,-0.18816485288152737,-0.2876935281219982,0.04406872267957128,-55.080870050195195,-55.080870050195195,-73.5344374342797,6.8493150684931505,0.18809900833366147,2477335.7610842856,13170381.827265333,0.18809900833366147,210.10031131096505,1.4072002448273546,0.8821849937885095,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.7664179049647204,neutral,1.0
ethereum-classic,ETC,2118992435,0.574427984277072,0.7107474549136488,0.2563492194583928,-37.71532184950136,-44.32739059967585,-64.11595716897362,1.36986301369863,0.3568359248426446,1950891.4711414275,5467194.683387667,0.3568359248426446,63.407407407407405,1.4184969509697682,0.923518055180225,mexc,0.0,0.0,0.0,0.0,gt2b,0.0,0.0,-0.07473781613302494,neutral,1.0
ethena,ENA,2080727370,-0.6130023515285387,-0.8637727112211256,-0.02787151224583575,-65.10042152243986,-65.24691358024693,-77.72943037974684,11.506849315068493,0.6769288246001034,8446827.049841713,12478161.282069333,0.6769288246001034,246.031746031746,1.9043472591796509,1.3163732210761092,mexc,0.48269048902547873,1.2417459924705976,1.2417459924705976,1.360517144273512,gt2b,0.0,0.0,-0.3242810177203721,neutral,1.0
pepe,PEPE,1943771287,-0.4300060496260788,-0.6334944998157263,0.04480033414976504,-61.09527004360953,-67.26413097170277,-70.8605527638191,2.2435897435897436,0.7106842667777898,169901.17106514328,239067.02175280658,0.7106842667777898,189.34724581412277,-0.1914425108766533,-0.08517249222622116,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.27899486798999035,neutral,1.0
rain,RAIN,1704370239,1.6404850509539124,2.276677767600569,0.15603537877838033,-10.479622608456262,,,95.0,3.115501309959461,12433137.185669092,3990734.058086746,3.115501309959461,250.86710277911922,1.1652547421700643,0.7045954648543422,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,1.5646464481146918,neutral,1.0
ondo-finance,ONDO,1632802781,-0.07907401588160964,-0.16680802593653166,0.1256386742465417,-52.978349169507496,-54.57626821748879,-66.93085594776575,2.572347266881029,0.7906036696523994,55984.55687687143,70812.41717672,0.7906036696523994,138.49846473208493,0.0921594111554341,0.07628553488540245,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.0639553990988293,neutral,1.0
htx-dao,HTX,1630020252,0.9719107814112364,1.2556129483463054,0.30993905856274223,-28.238659583163063,-29.392842782468843,-52.8843573920043,24.65753424657534,0.9231163784563754,451274.96831880696,488860.32016182377,0.9231163784563754,43.350908025776214,0.49942876216479154,0.31116224754650557,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.5110350863841017,neutral,1.0
aptos,APT,1600227477,-0.3665244278830385,-0.5625198223146068,0.09079815912395416,-59.86083134956968,-59.948839758816,-85.04774897680764,0.273972602739726,0.5681121658003573,2508764.438508571,4415966.757153,0.5681121658003573,149.1332116788321,1.4761731997683258,0.9169674929725228,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.34154194635271995,neutral,1.0
kucoin-shares,KCS,1516748123,1.0021011841519176,1.297885943787041,0.3119367450032967,-27.503419591629587,-27.503419591629587,-27.503419591629587,52.32876712328767,0.7548876803431432,396011.149999,524596.1224575667,0.7548876803431432,43.87650605091855,0.6115439145862441,0.39885344513149384,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.41641112809976827,neutral,1.0
kaspa,KAS,1512887373,0.5848446784103437,0.7563177310921557,0.18474088881944922,-36.92273336310853,-50.79522689661179,-58.544675355172004,12.179487179487179,1.057637708422709,136074.08431908715,128658.50303505066,1.057637708422709,135.05944725860212,-0.09769249090645933,-0.04386374385760228,mexc,0.0,0.7590555034451187,0.7590555034451187,0.0,500m_2b,0.0,0.0,0.5655694612990115,neutral,1.0
polygon-ecosystem-token,POL,1435746794,-0.06474886218980316,-0.15566277864413655,0.14738360953697474,-52.78450363196126,-52.78450363196126,-80.86627417998318,1.36986301369863,0.672222131026915,2216637.418026714,3297477.5981274005,0.672222131026915,118.18867924528304,1.4586426706461513,0.8829900863650124,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.1337637982490606,neutral,1.0
algorand,ALGO,1262606172,0.3388268525148565,0.3925544656354791,0.21346242190007061,-43.24954549047507,-54.89413834265251,-71.96055457918375,0.821917808219178,0.6551003009543442,83862.92310069999,128015.39394582667,0.6551003009543442,86.29067883964072,1.767516107358547,1.0038406086418215,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.043096594620232125,neutral,1.0
quant-network,QNT,1225936675,1.285449637859789,1.694668852855147,0.33060480287062083,-20.602307908809458,-37.28788440163024,-48.91960405601159,26.575342465753426,0.6608831740870205,927818.0258000002,1403906.2608633332,0.6608831740870205,48.889509708059784,1.2071273906147917,0.7271533511301627,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.4876196721666345,neutral,1.0
official-trump,TRUMP,1221541750,0.7304422571008836,0.9313893391213096,0.26156573238655645,-33.877771768523516,-45.98869058137479,-86.82457917537772,4.444444444444445,0.2462501930888712,3756000.818385714,15252783.241596002,0.2462501930888712,71.17200518422513,-0.1620862388613643,0.06526208906217053,mexc,2.7688894919604623,2.7688894919604623,2.7688894919604623,3.5,500m_2b,0.0,0.0,0.2938787608166523,neutral,1.0
cosmos,ATOM,1191660146,0.12449072429455699,0.09801436845493756,0.1862688879203357,-48.37238233464649,-51.99537304800462,-76.0369550572611,0.547945205479452,0.5128402643792386,824528.9237699994,1607769.4772426668,0.5128402643792386,95.42139384116695,1.3794925859061706,0.8573392869304418,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.14861243387515186,neutral,1.0
vechain,VET,1182047004,0.18390844140470192,0.18396859362060583,0.18376808623425944,-46.87740940632228,-51.42756432851603,-82.31065468549423,1.9178082191780823,0.5451592276505134,839450.5716858428,1539826.4013683568,0.5451592276505134,102.81469898358094,1.6563179336391205,0.9739635390851575,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.10006583314867923,neutral,1.0
flare-networks,FLR,1164712256,0.25272924623097626,0.2873547900518677,0.1719363106488962,-45.079248064872836,-45.079248064872836,-57.59817871371655,12.054794520547945,0.55449530532832,824406.4368389143,1486769.0112376665,0.55449530532832,120.211038961039,1.2812733957082243,0.6514641302933402,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.06198854370610307,neutral,1.0
filecoin,FIL,1161692580,-0.06253794606017936,-0.13947440193902094,0.116980450990451,-52.502944640753825,-52.502944640753825,-80.04453791908945,5.7534246575342465,0.24897207749073666,3415773.7151162857,13719505.213364234,0.24897207749073666,148.42721287490855,1.5614564163907563,0.9879172990301113,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.40616926690531996,neutral,1.0
sky,SKY,1136512654,0.6466177059384354,0.8208743013020049,0.24001898342343994,-35.79992265050922,,,14.666666666666666,1.1309317483936019,130720.17191151428,115586.26070688335,1.1309317483936019,85.52977756517579,-0.06114296052882732,-0.04655688702495488,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.4938213402109093,neutral,1.0
lombard-staked-btc,LBTC,1032447458,1.007929126072609,1.3075925202260945,0.30871453971447665,-27.33459637235065,,,11.11111111111111,0.916357562721649,48862.43099936428,53322.450740996,0.916357562721649,47.54454019903247,0.06525725827832325,-0.06784007089145701,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.5234402916108161,neutral,1.0
nexo,NEXO,1007591511,1.2204128914966874,1.601580299455252,0.33102227292670344,-22.22136580854015,-26.791932675565867,-34.24345106216603,5.47945205479452,0.4065412916682799,258002.51184357135,634628.0614813666,0.4065412916682799,43.09032756148674,0.8750183787719873,0.4531580032355325,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.293021717264474,neutral,1.0
xdce-crowd-sale,XDC,988402577,0.7292364635456683,0.9266655672145552,0.2685685549849323,-33.95993074449666,-46.73316708229427,-46.73316708229427,5.777777777777778,0.8846632600346449,52646.09263217144,59509.75360965,0.8846632600346449,64.14941128704832,0.09081356257337139,0.007924861671090121,mexc,0.0,0.2640358479925736,0.2640358479925736,0.0,500m_2b,0.0,0.0,0.42462744331466284,neutral,1.0
render-token,RENDER,921114500,-0.22204435915569065,-0.3646680781547491,0.11074431850877899,-56.41966250917094,-61.19337979094076,-82.98319327731092,1.095890410958904,0.4307916170402017,413575.5790885715,960036.2744523332,0.4307916170402017,141.38134592680052,1.9025009714783148,1.0918444901562918,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.36298006849209963,neutral,1.0
sei-network,SEI,879198196,-0.3697687441503949,-0.5608498764560126,0.07608723122937956,-59.831786542923425,-62.618083670715244,-80.37965717523728,1.36986301369863,0.6597104986036557,1319179.8598759999,1999634.480076,0.6597104986036557,163.4071810542399,1.7091547393263684,1.0494093279780854,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.28387677350805524,neutral,1.0
story-2,IP,837236422,-1.3653330859502606,-1.8018336258512364,-0.34683182618131764,-81.41579950168547,-81.41579950168547,,5.454545454545454,0.9460427096509583,51985.92644857143,54950.929718333326,0.9460427096509583,499.0342405618964,-0.17921652214469685,0.11993798946979721,mexc,0.5280865238544927,0.5280865238544927,0.5280865238544927,3.5000000000000004,500m_2b,0.0,0.0,-0.23410636196819284,neutral,1.0
pancakeswap-token,CAKE,832223721,0.32483665404334,0.3835249162114864,0.18789737565099854,-43.40659340659341,-43.40659340659341,-43.40659340659341,53.6986301369863,0.7039446542997342,2465294.3364642854,3502113.8684783336,0.7039446542997342,110.40462427745665,1.4866829536285049,0.9655796241601096,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,0.06813740634247725,neutral,1.0
morpho,MORPHO,810598908,0.7028436985030939,0.893441046010659,0.2581165543187754,-34.53779366700716,-42.59964173757278,-60.76475690015815,33.15068493150685,0.21023629279699382,276140.12072785717,1313475.0287596667,0.21023629279699382,72.295959521889,1.655417978862059,1.1325632925331683,mexc,0.0,0.09352205217269328,0.09352205217269328,0.0,500m_2b,0.0,0.0,-0.05658236277645153,neutral,1.0
bonk,BONK,799843281,-0.5007421869475707,-0.7274876533770489,0.028330568054545046,-62.73006134969326,-74.84472049689441,-79.186295503212,1.9178082191780823,0.7384446718285859,2148438.898257659,2909410.793008434,0.7384446718285859,199.77011494252875,2.182440060455147,1.264344756031524,mexc,1.5774098475961131,1.5774098475961131,1.5774098475961131,3.5,500m_2b,0.0,0.0,0.03436739397413524,neutral,1.0
dash,DASH,732301870,-0.13402336572984472,-0.08546977727743683,-0.2473150721187965,-51.56366036801716,-51.56366036801716,-51.56366036801716,92.87671232876711,0.2724552188520713,8535003.178094808,31326260.565149464,0.2724552188520713,502.63550472401795,1.2496398534492066,0.7533715475746063,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.4242849004996164,neutral,1.0
pudgy-penguins,PENGU,695205099,-0.8603930041889694,-1.1967202491574145,-0.07562943259593097,-70.89126606565563,-74.3200315347694,-74.3200315347694,33.14121037463977,0.5828506842043986,3112064.54728279,5339385.595010174,0.5828506842043986,272.75399235818554,0.0333870613496145,0.05301441028399169,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.5619861753764752,neutral,1.0
fetch-ai,FET,676990892,-0.4798420984694547,-0.6858975519438043,0.0009539596373608487,-62.006698703946405,-68.97740784780024,-87.77985948477752,4.10958904109589,0.4118093924517111,2041031.8801992845,4956253.833959401,0.4118093924517111,228.5645933014354,1.8075536215092316,1.1035884572029222,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.4952846790136628,neutral,1.0
spx6900,SPX,648447690,-0.24996156039058673,-0.3587567706210585,0.00389393014718071,-56.31684912545614,-67.66185374941779,-67.66185374941779,33.42465753424658,1.2708014463826656,1165327.162362143,917001.7595425666,1.2708014463826656,244.69746258945997,2.8357873782501626,1.6966236216057164,mexc,0.5280865238544927,0.5280865238544927,0.5280865238544927,3.5000000000000004,500m_2b,0.0,0.0,0.49506321720174906,neutral,1.0
starknet,STRK,641065326,0.30857428802072,0.3745912576108924,0.15453469231031777,-43.561973525872446,-43.561973525872446,-82.07186544342508,45.75342465753425,0.3429951639885812,6167428.522661569,17981094.692247298,0.3429951639885812,142.0388349514563,1.6902786317404876,1.0674921233810826,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.17262155960245515,neutral,1.0
curve-dao-token,CRV,631488554,0.15118070316211007,0.1490249754169953,0.1562107345673779,-47.48517200474496,-59.69592134013111,-59.69592134013111,8.444444444444445,0.5581845050983523,373990.5177874286,670012.3603781,0.5581845050983523,127.34627831715208,-0.005012099570697242,-0.08699996744820858,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.10689043180151328,neutral,1.0
aerodrome-finance,AERO,628507576,0.13765675345938963,0.11911657592215467,0.18091716771293787,-48.00535873771956,-53.42045606080811,-66.90667929891048,30.1994301994302,0.39454995115393676,180792.1845382857,458223.81680576666,0.39454995115393676,101.80234304595976,-0.1195351881040879,0.004158071231236985,mexc,0.0,0.0,0.0,0.0,500m_2b,0.0,0.0,-0.21890163491396472,neutral,1.0
