id,symbol,market_cap,breakout_score,z_break,z_donch,dist_90,dist_180,dist_365,p365,vol_acc,vol_acc_7d,vol_acc_30d,break_vol_mult,donch_width,beta_btc,beta_eth,price_source,buzz_48h,buzz_7d,buzz_level,buzz_acc,mom_7d_pct,mom_30d_pct,volume_mc_ratio,ath_drawdown_pct,z_mom7,z_mom30,z_vmc,z_dd,beta_pen,score_global,score_segment,z_slope,z_volacc,z_buzz_level,z_buzz_acc,z_buzz_combined,early_score
bittensor,TAO,2888317770.0,0.567171559366307,0.5771182704188151,0.543962566910455,-39.231388329979886,-39.231388329979886,-39.231388329979886,21.671826625387,0.7120801866572701,1601437.7161571428,2248956.99412,0.7120801866572701,87.59672366285433,-0.24948776845615964,-0.11864852547712079,mexc,0.0,0.14542966922727588,0.14542966922727588,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.17313548112564453
rain,RAIN,2595353773.0,1.779053940095438,2.388599597028736,0.3567807405844094,-4.861308985492885,,,92.3076923076923,0.8549449731611913,4802548.556007239,5617377.383072544,0.8549449731611913,254.3881986214163,-0.2751816396013914,0.08745259934079402,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.7165798791086208
bitget-token,BGB,2539826102.0,0.707186958284871,0.7315715042423686,0.6502896843840433,-36.300875150767155,-36.300875150767155,-55.112549090823734,7.397260273972603,0.9680129042899348,605228.1790175571,625227.3872955333,0.9680129042899348,67.6993726149667,0.8680768864761,0.4717738470327137,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.6650373166227965,0.0,0.0,0,0,0,0,0,0.2194714512727106
okb,OKB,2484788625.0,0.1636723981068945,0.1121932852159779,0.2837903281856999,-48.05262672527743,-48.437336541479226,-48.437336541479226,76.43835616438356,3.2598157808436605,1491395.3489738572,457509.08923690004,3.2598157808436605,130.7817820658343,0.9650119184236787,0.5338433441793973,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.625286184349231,0.0,0.0,0,0,0,0,0,0.03365798556479337
memecore,M,2315187899.0,0.005969529519067124,-0.0975712343064064,0.2475646451118387,-52.03258670263746,-52.03258670263746,,46.25,0.5753406914972731,222551.3264855,386816.59367136005,0.5753406914972731,127.62237197201078,-0.9961181703768823,-0.4382097552381904,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.029271370291921922
near,NEAR,2312923056.0,0.4098602936764142,0.38294031684123514,0.47267357295849866,-42.91561712846348,-42.91561712846348,-73.81193124368049,2.4657534246575343,0.808474592986827,621756.6799699997,769049.1270393335,0.808474592986827,95.20590043023971,1.7500942728964028,1.071979997313594,mexc,0.9060407106266637,1.1062032946159484,1.1062032946159484,2.86669051034989,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,0.11488209505237054
ethena,ENA,2143069680.0,-0.5961433136471379,-0.7318845944465331,-0.27941365844854915,-64.06770966914594,-65.4074074074074,-77.83227848101266,12.876712328767123,0.828929041676007,9557361.864475857,11529770.805414032,0.828929041676007,234.53453453453457,1.9246188291899875,1.3161912481691875,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.21956537833395992
pepe,PEPE,2063007829.0,-0.33571015075975746,-0.4492489829190198,-0.070786209054812,-58.705132505870516,-65.252981440971,-69.07035175879398,7.739938080495357,0.9792305655391077,218447.76092742287,223081.0277119548,0.9792305655391077,194.20182580804345,-0.058610797831980525,-0.04980667136155454,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.13477469487570595
aster-2,ASTER,2036919163.0,-0.2620268163293914,-0.3998814488531102,0.059633992892619135,-57.768459277191766,,,13.414634146341465,0.6860499886056596,71572.35205914285,104325.27257176668,0.6860499886056596,160.93626621545405,1.7083799122114183,1.0145560853042714,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.11996443465593307
internet-computer,ICP,1960023420.0,-0.37903088473977414,-0.4833970448947057,-0.1355098443782672,-59.353039598438365,-59.353039598438365,-73.33138173302108,7.671232876712329,0.2802941141421537,1525381.390492857,5442074.283869,0.2802941141421537,210.10031131096505,1.3624280924553211,0.8607292642416352,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.1450191134684117
pi-network,PI,1816994628.0,0.46542504205585833,0.4461409723979397,0.5104212045910019,-41.71648163962425,-65.54661618551822,-92.082682317628,6.643356643356643,0.9650846939802818,55906.585204828574,57929.200984686664,0.9650846939802818,88.67126529379183,0.009438674113569403,0.07510374893141554,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.9788643942387538,0.0,0.0,0,0,0,0,0,0.13384229171938192
pump-fun,PUMP,1797241454.0,-0.6250743598449803,-0.7595187806872539,-0.31137071121300863,-64.59202596198423,-64.59202596198423,,22.818791946308725,0.6647770965747091,5269065.789646738,7926063.964591761,0.6647770965747091,241.70297029702974,-0.03715822566487712,-0.22171951642165655,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.22785563420617616
ondo-finance,ONDO,1577107891.0,-0.115052767126644,-0.23500812143612654,0.16484305959548184,-54.640240806556896,-56.181684417040366,-68.0996225260151,3.4161490683229814,0.9149765371998136,60459.57692110001,66077.73474293666,0.9149765371998136,142.00987383433898,-0.035089201622911355,-0.06494906557137602,mexc,0.5979434812888486,0.5979434812888486,0.5979434812888486,3.5000000000000004,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,-0.07050243643083796
htx-dao,HTX,1522858001.0,0.8520216204273794,0.8980277295540114,0.7446740324652381,-33.14262362076011,-34.21793325291516,-38.70363431997003,5.47945205479452,0.9883233194099216,494490.9441378095,500333.17480867024,0.9883233194099216,51.893234016139054,0.49805957516995125,0.32214060470087585,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.7949499550322932,0.0,0.0,0,0,0,0,0,0.2694083188662034
kaspa,KAS,1390743472.0,0.41153628215337845,0.44091994354687264,0.3429744055685586,-41.81554265297008,-54.61196759864124,-61.760302923564645,8.978328173374612,0.8022729305691997,99858.37238906286,124469.32781119134,0.8022729305691997,135.05944725860212,-0.1674310974825927,-0.07791363965793976,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0.1322759830640618
aptos,APT,1383935113.0,-0.6348677979729295,-0.803556670505445,-0.2412604287303933,-65.42757736678264,-65.50338023022108,-86.72292545710268,1.643835616438356,0.8599391436361347,3328257.219245714,3870340.4117326667,0.8599391436361347,219.35672514619884,1.4611519542841058,0.9132579333412707,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.5,0.0,0.0,0,0,0,0,0,-0.2410670011516335
kucoin-shares,KCS,1358805532.0,0.7557355371087067,0.7966162085075754,0.6603473038446799,-35.06675166647067,-35.06675166647067,-35.06675166647067,9.315068493150685,1.0170838970470726,569419.5539751429,559855.0479742667,1.0170838970470726,69.00699798115042,0.6171896860365521,0.40073521869138345,mexc,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.7455187738180161,0.0,0.0,0,0,0,0,0,0.2389848625522726
