id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,87014.0,1741513780106,1,1741513780106.0,48802734805.0,87240.0,84248.0,2503.51,2.96235,58661673124.0,3.48585,19952637.0,19952637.0,21000000.0,126080.0,-30.92201,2025-10-06T18:57:42.558Z,67.81,128339.36427,2013-07-06T00:00:00.000Z,,2025-11-23T16:21:51.488Z,0.41460048229754015,2.962349537606421,-21.003066577983383,-7.855575276492822
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2825.62,342714623275,2,342714623275.0,18599172642.0,2855.25,2733.7,76.1,2.76775,11743431931.0,3.54817,120695653.784733,120695653.784733,,4946.05,-42.76013,2025-08-24T19:21:03.333Z,0.432979,653768.37099,2015-10-20T00:00:00.000Z,"{'times': 42.406805287619285, 'currency': 'btc', 'percentage': 4240.680528761929}",2025-11-23T16:21:51.406Z,0.25582907608522115,2.7677549826007457,-27.348340247985398,-8.815023711632122
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999617,184422064600,3,189886839921.0,68542919054.0,0.999726,0.999459,5.547e-05,0.00555,-273418250.2967224,-0.14804,184494991046.9261,189961927316.4662,,1.32,-24.44832,2018-07-24T00:00:00.000Z,0.572521,74.59983,2015-03-02T00:00:00.000Z,,2025-11-23T16:21:57.536Z,-0.0009728424678460149,0.005549207038512735,-0.0799351481770387,-0.030907077026305747
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.07,124534246658,4,206642839307.0,3587995880.0,2.07,1.92,0.123053,6.33125,7896474758.0,6.77008,60256871588.0,99985757869.0,100000000000.0,3.65,-43.27856,2025-07-18T03:40:53.808Z,0.00268621,76896.23668,2014-05-22T00:00:00.000Z,,2025-11-23T16:21:55.693Z,0.7497110640047183,6.331250714336137,-16.618344193648984,-5.512342130523481
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,849.74,117266401256,5,117266401256.0,1268958134.0,852.51,826.26,22.07,2.66699,3584423678.0,3.15303,137736626.22,137736626.22,200000000.0,1369.99,-37.9327,2025-10-13T08:41:24.131Z,0.0398177,2135424.72486,2017-10-19T00:00:00.000Z,,2025-11-23T16:21:51.287Z,0.33363261178676734,2.6669927468085226,-23.244335399559656,-7.876166384577433
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.33,74345621968,6,81727363224.0,3833275926.0,132.96,126.19,4.66,3.65356,3418224333.0,4.81933,559139288.2445403,614655960.8126488,,293.31,-54.73212,2025-01-19T11:15:27.957Z,0.500801,26412.73934,2020-05-11T19:35:23.449Z,,2025-11-23T16:21:56.164Z,0.8682266727324016,3.653555189011557,-30.17696874939783,-3.930343386859193
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999704,73968217033,7,73965281409.0,8317439939.0,0.999867,0.9996,-9.5799540343999e-05,-0.00958,-38786553.36125183,-0.05241,73984901423.56662,73978569897.15538,,1.17,-14.75269,2019-05-08T00:40:28.300Z,0.877647,13.90695,2023-03-11T08:02:13.981Z,,2025-11-23T16:21:58.936Z,-0.00014746049188354445,-0.009581870618209353,-0.009777723018168188,-0.006702854196263786
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.274979,26076888522,8,26077748479.0,485987209.0,0.275442,0.273195,0.00106531,0.38892,181369389.0,0.70039,94672961526.7063,94676083628.7563,,0.431288,-36.2366,2024-12-04T00:10:40.323Z,0.00180434,15141.24497,2017-11-12T00:00:00.000Z,"{'times': 143.72568931256822, 'currency': 'usd', 'percentage': 14372.568931256821}",2025-11-23T16:21:58.011Z,0.03748238345343768,0.38892326050320797,-10.593958557704925,-6.995599353566222
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2825.6,24478955119,9,24478955119.0,50673394.0,2850.43,2732.1,81.03,2.95254,897758210.0,3.80709,8630101.881311169,8630101.881311169,,4932.89,-42.55911,2025-08-24T19:21:31.902Z,482.9,486.7716,2020-12-22T04:08:21.854Z,,2025-11-23T16:21:56.085Z,0.2394402654672439,2.9525397924416583,-27.32162679197931,-10.76218510990095
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.146532,22366799080,10,22370933212.0,1259470327.0,0.147298,0.138804,0.00760576,5.47468,1346475822.0,6.40559,151866486383.7052,151894556383.7052,,0.731578,-79.95619,2021-05-08T05:08:23.458Z,8.69e-05,168633.96978,2015-05-06T00:00:00.000Z,,2025-11-23T16:21:51.223Z,0.663905296024531,5.474680354392047,-24.817128635505263,-7.918113614181423
